"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Tax_res"
"Arthropodium sp. B sensu Harden (1993)","Arthropodium","","sp.",NA,NA,"","B sensu Harden (1993)","",FALSE,"1.1","","","Arthropodium","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Alstroemeria sp.","Alstroemeria","","sp.",NA,NA,"","","",FALSE,"1.1","","","Alstroemeria","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Galium sp.","Galium","","sp.",NA,NA,"","","",FALSE,"1.1","","","Galium","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Astragalus sp.","Astragalus","","sp.",NA,NA,"","","",FALSE,"1.1","","","Astragalus","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Sisyrinchium sp.","Sisyrinchium","","sp.",NA,NA,"","","",FALSE,"1.1","","","Sisyrinchium","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Stachys sp.","Stachys","","sp.",NA,NA,"","","",FALSE,"1.1","","","Stachys","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Tristagma sp.","Tristagma","","sp.",NA,NA,"","","",FALSE,"1.1","","","Tristagma","","sp.",NA,"","","","",FALSE,FALSE,FALSE,2020-04-22,"Genus"
"Achillea acuminata(Ledeb.)Sch.-Bip.","Achillea","","acuminata",NA,NA,"","(Ledeb.)Sch.-Bip.","gcc-129408",TRUE,"1.1","Accepted","Compositae","Achillea","","acuminata","","","(Ledeb.) Sch.Bip.","gcc-129408","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
"Achnatherum extreniorientale","Achnatherum","","extreniorientale",NA,NA,"","","kew-387278",TRUE,"1.1","Synonym","Poaceae","Stipa","","pekinensis","","","Hance","kew-445502","Accepted",TRUE,FALSE,FALSE,2020-04-22,"Species"
"Achnatherum inebrians","Achnatherum","","inebrians",NA,NA,"","","kew-387288",TRUE,"1.1","Synonym","Poaceae","Stipa","","inebrians","","","Hance","kew-445178","Accepted",FALSE,FALSE,FALSE,2020-04-22,"Species"
