;CD_REF;X0;genus.species;Region;Genus_species;Niche;Altmin;Altmax;Treeline;genus;species;CD_TAXSUP;NOM_VALIDE;Tax_RefCourtname;Tax_RefLongname;RANG;HYBRIDE;INDIG_PACA;INDIG_LR;TAX_Genus;TAX_Species;TAX_Subspecies;Tax_Nomsubspieces;genus.speciesC;P1;genus.speciesL;P2;P3;altmin;altmax;altmean;altsd;altnobs;strict
1;79868;1;Achillea.atrata;Southern Alps;Achillea atrata;Strict;1390;3250;1880;Achillea;atrata;NA;Achillea atrata L., 1753;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;79887;3;Achillea.erba-rotta;Southern Alps;Achillea erba-rotta;Strict;1390;3250;1880;Achillea;erba-rotta;188746;Achillea erba-rotta All., 1773;Achillea erba-rotta;Achillea erba-rotta ;ES;0;I;;Achillea;erba-rotta;NA;erba-rotta;Achillea.erba-rotta;P;Achillea.erba-rotta;P;P;928;2878;2347;257;838;TRUE
3;79913;4;Achillea.nana;Southern Alps;Achillea nana;Strict;1880;3250;1880;Achillea;nana;188746;Achillea nana L., 1753;Achillea nana;Achillea nana ;ES;0;I;;Achillea;nana;NA;nana;Achillea.nana;P;Achillea.nana;P;P;1030;3346;2576;287;1857;TRUE
4;81543;5;Allium.victorialis;Southern Alps;Allium victorialis;Strict;1390;3250;1880;Allium;victorialis;188971;Allium victorialis L., 1753;Allium victorialis;Allium victorialis ;ES;0;I;I;Allium;victorialis;NA;victorialis;Allium.victorialis;P;Allium.victorialis;P;P;1482;2347;1964;168;144;FALSE
5;82519;6;Androsace.obtusifolia;Southern Alps;Androsace obtusifolia;Strict;1880;3250;1880;Androsace;obtusifolia;189155;Androsace obtusifolia All., 1785;Androsace obtusifolia;Androsace obtusifolia ;ES;0;I;;Androsace;obtusifolia;NA;obtusifolia;Androsace.obtusifolia;P;Androsace.obtusifolia;P;P;812;2893;2391;269;304;TRUE
6;82596;7;Anemone.alpina;Southern Alps;Anemone alpina;Generalist;1050;3250;1880;Anemone;alpina;189160;Anemone alpina L., 1753;Anemone alpina;Anemone alpina ;ES;0;I;I;Anemone;alpina;NA;alpina;Anemone.alpina;P;Anemone.alpina;P;P;872;3855;1994;307;3021;FALSE
7;82671;8;Anemone.vernalis;Southern Alps;Anemone vernalis;Strict;1390;3250;1880;Anemone;vernalis;189160;Anemone vernalis L., 1753;Anemone vernalis;Anemone vernalis ;ES;0;I;I;Anemone;vernalis;NA;vernalis;Anemone.vernalis;P;Anemone.vernalis;P;P;917;3152;2333;280;1124;TRUE
8;82796;9;Antennaria.dioica;Southern Alps;Antennaria dioica;Strict;1390;3250;1880;Antennaria;dioica;189227;Antennaria dioica (L.) Gaertn., 1791;Antennaria dioica;Antennaria dioica ;ES;0;I;I;Antennaria;dioica;NA;dioica;Antennaria.dioica;P;Antennaria.dioica;P;P;185;3053;2128;357;5021;FALSE
9;82922;10;Anthoxanthum.odoratum;Southern Alps;Anthoxanthum odoratum;Strict;1390;3250;1880;Anthoxanthum;odoratum;189250;Anthoxanthum odoratum L., 1753 (s. str.);Anthoxanthum odoratum;Anthoxanthum odoratum ;ES;0;I;I;Anthoxanthum;odoratum;NA;odoratum;Anthoxanthum.odoratum;P;Anthoxanthum.odoratum;P;P;-2;2843;463;560;2064;FALSE
10;82999;11;Anthyllis.vulneraria;Southern Alps;Anthyllis vulneraria;Generalist;0;4810;1880;Anthyllis;vulneraria;189258;Anthyllis vulneraria L., 1753;Anthyllis vulneraria;Anthyllis vulneraria ;ES;0;I;I;Anthyllis;vulneraria;NA;vulneraria;Anthyllis.vulneraria;P;Anthyllis.vulneraria;P;P;3;3067;1348;618;5003;FALSE
11;83279;12;Arabis.alpina;Southern Alps;Arabis alpina;Generalist;0;3250;1880;Arabis;alpina;189376;Arabis alpina L., 1753;Arabis alpina;Arabis alpina ;ES;0;I;I;Arabis;alpina;NA;alpina;Arabis.alpina;P;Arabis.alpina;P;P;360;3346;2037;621;2479;FALSE
